Campaign_ID,Campaign_Name,Date,Channel,Impressions,Clicks,Conversions,Cost
CID078,Search Ads - Watches,2024-01-12,YouTube,38687,863,24,312.67
CID079,YouTube Ads - Fashion,2024-01-06,YouTube,3687,74,35,1330.55
CID080,YouTube Ads - Fashion,2024-01-30,YouTube,13418,740,43,1401.88
CID081,YouTube Ads - Fashion,2024-02-20,Display Network,25911,1138,6,1450.33
CID082,Display Ads - Bags,2024-02-11,Display Network,14716,781,23,1896.9
CID083,Display Ads - Accessories,2024-01-25,Display Network,16031,509,7,1844.31
CID084,YouTube Ads - Fashion,2024-01-20,Display Network,6021,302,47,190.57
CID085,Search Ads - Shoes,2024-02-27,YouTube,42700,206,11,204.66
CID086,Display Ads - Bags,2024-02-20,Google Search,13723,905,26,1757.07
CID087,Display Ads - Bags,2024-01-13,YouTube,40881,3096,28,380.41
CID088,Display Ads - Accessories,2024-01-08,Display Network,1719,116,18,1691.62
CID089,Display Ads - Bags,2024-02-12,YouTube,40752,440,38,1754.98
CID090,Display Ads - Accessories,2024-01-24,Google Search,6732,424,23,1374.39
CID091,Search Ads - Shoes,2024-01-10,Google Search,38222,3347,12,1855.19
CID092,YouTube Ads - Fashion,2024-02-28,Google Search,42808,1228,6,1356.24
CID093,Search Ads - Watches,2024-02-10,YouTube,25265,2490,13,1288.36
CID094,Display Ads - Accessories,2024-02-12,Google Search,35880,209,16,1616.02
CID095,Search Ads - Shoes,2024-02-17,YouTube,9690,566,9,1776.92
CID096,Display Ads - Accessories,2024-02-14,Google Search,47639,2781,17,1295.3
CID097,Search Ads - Watches,2024-02-25,Display Network,8901,561,47,1230.92
CID098,Search Ads - Shoes,2024-02-04,YouTube,26563,1929,47,338.51
CID099,Search Ads - Shoes,2024-02-20,Google Search,10621,59,5,1796.65
CID100,Display Ads - Bags,2024-01-01,Display Network,47093,982,48,1426.03
